variable;empresa;año;valor;tipo
biodiversity_commitment;Melia;2021;0;cualitativo
climate_strategy;Melia;2021;1;cualitativo
water_management;Melia;2021;1;cualitativo
food_loss_waste;Melia;2021;1;cualitativo
recognized_env_standard;Melia;2021;1;cualitativo
energy_management;Melia;2021;0;cualitativo
packaging;Melia;2021;0;cualitativo
%_renewable_energy;Melia;2021;0;cuantitativo
%_waste_recycled;Melia;2021;0.4;cuantitativo
%_waste_haz_recycled;Melia;2021;0;cuantitativo
%_waste_nohaz_recycled;Melia;2021;0;cuantitativo
%_reduction_co2_2030;Melia;2021;0;cuantitativo
external_audit;Melia;2020;0;cualitativo
2030_commitment;Melia;2020;1;cualitativo
waste_management;Melia;2020;1;cualitativo
biodiversity_commitment;Melia;2020;0;cualitativo
climate_strategy;Melia;2020;0;cualitativo
water_management;Melia;2020;1;cualitativo
food_loss_waste;Melia;2020;1;cualitativo
recognized_env_standard;Melia;2020;1;cualitativo
energy_management;Melia;2020;1;cualitativo
packaging;Melia;2020;1;cualitativo
%_renewable_energy;Melia;2020;0.054;cuantitativo
%_waste_recycled;Melia;2020;1;cuantitativo
%_waste_haz_recycled;Melia;2020;0;cuantitativo
%_waste_nohaz_recycled;Melia;2020;0;cuantitativo
%_reduction_co2_2030;Melia;2020;0;cuantitativo
external_audit;Melia;2019;0;cualitativo
2030_commitment;Melia;2019;1;cualitativo
waste_management;Melia;2019;1;cualitativo
biodiversity_commitment;Melia;2019;1;cualitativo
climate_strategy;Melia;2019;1;cualitativo
water_management;Melia;2019;1;cualitativo
food_loss_waste;Melia;2019;1;cualitativo
recognized_env_standard;Melia;2019;1;cualitativo
energy_management;Melia;2019;1;cualitativo
packaging;Melia;2019;1;cualitativo
%_renewable_energy;Melia;2019;0.52;cuantitativo
%_waste_recycled;Melia;2019;0.56;cuantitativo
%_waste_haz_recycled;Melia;2019;0;cuantitativo
%_waste_nohaz_recycled;Melia;2019;0;cuantitativo
%_reduction_co2_2030;Melia;2019;0;cuantitativo
external_audit;Melia;2018;1;cualitativo
2030_commitment;Melia;2018;1;cualitativo
waste_management;Melia;2018;1;cualitativo
biodiversity_commitment;Melia;2018;1;cualitativo
climate_strategy;Melia;2018;0;cualitativo
water_management;Melia;2018;1;cualitativo
food_loss_waste;Melia;2018;0;cualitativo
recognized_env_standard;Melia;2018;1;cualitativo
energy_management;Melia;2018;1;cualitativo
packaging;Melia;2018;1;cualitativo
%_renewable_energy;Melia;2018;0.53;cuantitativo
%_waste_recycled;Melia;2018;0;cuantitativo
%_waste_haz_recycled;Melia;2018;0;cuantitativo
%_waste_nohaz_recycled;Melia;2018;0;cuantitativo
%_reduction_co2_2030;Melia;2018;0;cuantitativo
external_audit;Melia;2017;1;cualitativo
2030_commitment;Melia;2017;0;cualitativo
waste_management;Melia;2017;1;cualitativo
biodiversity_commitment;Melia;2017;0;cualitativo
climate_strategy;Melia;2017;0;cualitativo
water_management;Melia;2017;1;cualitativo
food_loss_waste;Melia;2017;0;cualitativo
recognized_env_standard;Melia;2017;1;cualitativo
energy_management;Melia;2017;1;cualitativo
packaging;Melia;2017;1;cualitativo
%_renewable_energy;Melia;2017;1;cuantitativo
%_waste_recycled;Melia;2017;0.46;cuantitativo
%_waste_haz_recycled;Melia;2017;0;cuantitativo
%_waste_nohaz_recycled;Melia;2017;0;cuantitativo
%_reduction_co2_2030;Melia;2017;0;cuantitativo
external_audit;Acerinox;2021;1;cualitativo
2030_commitment;Acerinox;2021;1;cualitativo
waste_management;Acerinox;2021;1;cualitativo
biodiversity_commitment;Acerinox;2021;1;cualitativo
climate_strategy;Acerinox;2021;1;cualitativo
water_management;Acerinox;2021;1;cualitativo
recognized_env_standard;Acerinox;2021;1;cualitativo
energy_management;Acerinox;2021;1;cualitativo
ard_management;Acerinox;2021;0;cualitativo
%_renewable_energy;Acerinox;2021;0.01;cuantitativo
%_water_recyled;Acerinox;2021;0;cuantitativo
%_reduction_co2_2030;Acerinox;2021;0.2;cuantitativo
external_audit;Acerinox;2020;1;cualitativo
2030_commitment;Acerinox;2020;1;cualitativo
waste_management;Acerinox;2020;1;cualitativo
biodiversity_commitment;Acerinox;2020;0;cualitativo
climate_strategy;Acerinox;2020;1;cualitativo
water_management;Acerinox;2020;1;cualitativo
recognized_env_standard;Acerinox;2020;1;cualitativo
energy_management;Acerinox;2020;1;cualitativo
ard_management;Acerinox;2020;0;cualitativo
%_renewable_energy;Acerinox;2020;0;cuantitativo
%_water_recyled;Acerinox;2020;0;cuantitativo
%_reduction_co2_2030;Acerinox;2020;0.2;cuantitativo
external_audit;Acerinox;2019;1;cualitativo
2030_commitment;Acerinox;2019;0;cualitativo
waste_management;Acerinox;2019;1;cualitativo
biodiversity_commitment;Acerinox;2019;1;cualitativo
climate_strategy;Acerinox;2019;0;cualitativo
water_management;Acerinox;2019;1;cualitativo
recognized_env_standard;Acerinox;2019;1;cualitativo
energy_management;Acerinox;2019;1;cualitativo
ard_management;Acerinox;2019;0;cualitativo
%_renewable_energy;Acerinox;2019;0;cuantitativo
%_water_recyled;Acerinox;2019;0;cuantitativo
%_reduction_co2_2030;Acerinox;2019;0;cuantitativo
external_audit;Acerinox;2018;1;cualitativo
2030_commitment;Acerinox;2018;0;cualitativo
waste_management;Acerinox;2018;1;cualitativo
biodiversity_commitment;Acerinox;2018;1;cualitativo
climate_strategy;Acerinox;2018;0;cualitativo
water_management;Acerinox;2018;0;cualitativo
recognized_env_standard;Acerinox;2018;1;cualitativo
energy_management;Acerinox;2018;1;cualitativo
ard_management;Acerinox;2018;0;cualitativo
%_renewable_energy;Acerinox;2018;0;cuantitativo
%_water_recyled;Acerinox;2018;0;cuantitativo
%_reduction_co2_2030;Acerinox;2018;0;cuantitativo
external_audit;Acerinox;2017;1;cualitativo
2030_commitment;Acerinox;2017;0;cualitativo
waste_management;Acerinox;2017;0;cualitativo
biodiversity_commitment;Acerinox;2017;0;cualitativo
climate_strategy;Acerinox;2017;0;cualitativo
water_management;Acerinox;2017;1;cualitativo
recognized_env_standard;Acerinox;2017;1;cualitativo
energy_management;Acerinox;2017;1;cualitativo
ard_management;Acerinox;2017;1;cualitativo
%_renewable_energy;Acerinox;2017;0;cuantitativo
%_water_recyled;Acerinox;2017;0;cuantitativo
%_reduction_co2_2030;Acerinox;2017;0;cuantitativo
external_audit;ACS;2021;1;cualitativo
2030_commitment;ACS;2021;1;cualitativo
waste_management;ACS;2021;1;cualitativo
biodiversity_commitment;ACS;2021;1;cualitativo
climate_strategy;ACS;2021;1;cualitativo
water_management;ACS;2021;1;cualitativo
green_buildings;ACS;2021;1;cualitativo
recognized_env_standard;ACS;2021;1;cualitativo
energy_management;ACS;2021;1;cualitativo
building_materials;ACS;2021;1;cualitativo
resource_efficiency;ACS;2021;1;cualitativo
%_renewable_energy;ACS;2021;0.04;cuantitativo
%_reduction_co2_2030;ACS;2021;0;cuantitativo
external_audit;ACS;2020;1;cualitativo
2030_commitment;ACS;2020;1;cualitativo
waste_management;ACS;2020;1;cualitativo
biodiversity_commitment;ACS;2020;1;cualitativo
climate_strategy;ACS;2020;1;cualitativo
water_management;ACS;2020;1;cualitativo
green_buildings;ACS;2020;1;cualitativo
recognized_env_standard;ACS;2020;1;cualitativo
energy_management;ACS;2020;1;cualitativo
building_materials;ACS;2020;1;cualitativo
resource_efficiency;ACS;2020;1;cualitativo
%_renewable_energy;ACS;2020;0.005;cuantitativo
%_reduction_co2_2030;ACS;2020;0;cuantitativo
external_audit;ACS;2019;1;cualitativo
2030_commitment;ACS;2019;1;cualitativo
waste_management;ACS;2019;1;cualitativo
biodiversity_commitment;ACS;2019;1;cualitativo
climate_strategy;ACS;2019;1;cualitativo
water_management;ACS;2019;1;cualitativo
green_buildings;ACS;2019;1;cualitativo
recognized_env_standard;ACS;2019;1;cualitativo
energy_management;ACS;2019;1;cualitativo
building_materials;ACS;2019;1;cualitativo
resource_efficiency;ACS;2019;1;cualitativo
%_renewable_energy;ACS;2019;0.004;cuantitativo
%_reduction_co2_2030;ACS;2019;0;cuantitativo
external_audit;ACS;2018;1;cualitativo
2030_commitment;ACS;2018;1;cualitativo
waste_management;ACS;2018;1;cualitativo
biodiversity_commitment;ACS;2018;1;cualitativo
climate_strategy;ACS;2018;0;cualitativo
water_management;ACS;2018;1;cualitativo
green_buildings;ACS;2018;1;cualitativo
recognized_env_standard;ACS;2018;1;cualitativo
energy_management;ACS;2018;1;cualitativo
building_materials;ACS;2018;1;cualitativo
resource_efficiency;ACS;2018;1;cualitativo
%_renewable_energy;ACS;2018;0.004;cuantitativo
%_reduction_co2_2030;ACS;2018;0;cuantitativo
external_audit;ACS;2017;1;cualitativo
2030_commitment;ACS;2017;1;cualitativo
waste_management;ACS;2017;1;cualitativo
biodiversity_commitment;ACS;2017;1;cualitativo
climate_strategy;ACS;2017;1;cualitativo
water_management;ACS;2017;1;cualitativo
green_buildings;ACS;2017;0;cualitativo
recognized_env_standard;ACS;2017;1;cualitativo
energy_management;ACS;2017;1;cualitativo
building_materials;ACS;2017;1;cualitativo
resource_efficiency;ACS;2017;1;cualitativo
%_renewable_energy;ACS;2017;0.1;cuantitativo
%_reduction_co2_2030;ACS;2017;0.4;cuantitativo
external_audit;Bankinter;2021;0;cualitativo
2030_commitment;Bankinter;2021;1;cualitativo
waste_management;Bankinter;2021;1;cualitativo
climate_strategy;Bankinter;2021;1;cualitativo
water_management;Bankinter;2021;1;cualitativo
recognized_env_standard;Bankinter;2021;1;cualitativo
energy_management;Bankinter;2021;1;cualitativo
descarbonization_strategy;Bankinter;2021;1;cualitativo
%_renewable_energy;Bankinter;2021;1;cuantitativo
%_reduction_co2_2030;Bankinter;2021;0;cuantitativo
external_audit;Bankinter;2021;1;cualitativo
2030_commitment;Bankinter;2020;1;cualitativo
waste_management;Bankinter;2020;1;cualitativo
climate_strategy;Bankinter;2020;1;cualitativo
water_management;Bankinter;2020;0;cualitativo
recognized_env_standard;Bankinter;2020;1;cualitativo
energy_management;Bankinter;2020;1;cualitativo
descarbonization_strategy;Bankinter;2020;1;cualitativo
%_renewable_energy;Bankinter;2020;1;cuantitativo
%_reduction_co2_2030;Bankinter;2020;0;cuantitativo
external_audit;Bankinter;2019;1;cualitativo
2030_commitment;Bankinter;2019;1;cualitativo
waste_management;Bankinter;2019;1;cualitativo
climate_strategy;Bankinter;2019;1;cualitativo
water_management;Bankinter;2019;0;cualitativo
recognized_env_standard;Bankinter;2019;1;cualitativo
energy_management;Bankinter;2019;1;cualitativo
descarbonization_strategy;Bankinter;2019;1;cualitativo
%_renewable_energy;Bankinter;2019;1;cuantitativo
