variable;empresa;año;valor;tipo
2030_commitment;Enagas;2019;0;cualitativo
biodiversity_commitment;Enagas;2019;1;cualitativo
climate_strategy;Enagas;2019;0;cualitativo
recognized_env_standard;Enagas;2019;1;cualitativo
energy_management;Enagas;2019;1;cualitativo
%_renewable_energy;Enagas;2019;0.17;cuantitativo
external_audit;Enagas;2018;1;cualitativo
2030_commitment;Enagas;2018;1;cualitativo
biodiversity_commitment;Enagas;2018;0;cualitativo
climate_strategy;Enagas;2018;0;cualitativo
recognized_env_standard;Enagas;2018;1;cualitativo
energy_management;Enagas;2018;1;cualitativo
%_renewable_energy;Enagas;2018;0.125;cuantitativo
external_audit;Enagas;2017;1;cualitativo
2030_commitment;Enagas;2017;0;cualitativo
biodiversity_commitment;Enagas;2017;0;cualitativo
climate_strategy;Enagas;2017;0;cualitativo
recognized_env_standard;Enagas;2017;1;cualitativo
energy_management;Enagas;2017;1;cualitativo
%_renewable_energy;Enagas;2017;0.11;cuantitativo
external_audit;Indra;2021;1;cualitativo
2030_commitment;Indra;2021;0;cualitativo
climate_strategy;Indra;2021;1;cualitativo
recognized_env_standard;Indra;2021;1;cualitativo
circular_economy;Indra;2021;1;cualitativo
energy_management;Indra;2021;0;cualitativo
product_stewardship;Indra;2021;0;cualitativo
%_renewable_energy;Indra;2021;0.93;cuantitativo
external_audit;Indra;2020;1;cualitativo
2030_commitment;Indra;2020;1;cualitativo
climate_strategy;Indra;2020;1;cualitativo
recognized_env_standard;Indra;2020;1;cualitativo
circular_economy;Indra;2020;1;cualitativo
energy_management;Indra;2020;1;cualitativo
product_stewardship;Indra;2020;0;cualitativo
%_renewable_energy;Indra;2020;0.77;cuantitativo
external_audit;Indra;2019;1;cualitativo
2030_commitment;Indra;2019;0;cualitativo
climate_strategy;Indra;2019;1;cualitativo
recognized_env_standard;Indra;2019;1;cualitativo
circular_economy;Indra;2019;1;cualitativo
energy_management;Indra;2019;1;cualitativo
product_stewardship;Indra;2019;0;cualitativo
%_renewable_energy;Indra;2019;0.57;cuantitativo
external_audit;Indra;2018;1;cualitativo
2030_commitment;Indra;2018;1;cualitativo
climate_strategy;Indra;2018;0;cualitativo
recognized_env_standard;Indra;2018;1;cualitativo
circular_economy;Indra;2018;1;cualitativo
energy_management;Indra;2018;1;cualitativo
product_stewardship;Indra;2018;0;cualitativo
%_renewable_energy;Indra;2018;0.56;cuantitativo
external_audit;Indra;2017;1;cualitativo
2030_commitment;Indra;2017;1;cualitativo
climate_strategy;Indra;2017;0;cualitativo
recognized_env_standard;Indra;2017;1;cualitativo
circular_economy;Indra;2017;0;cualitativo
energy_management;Indra;2017;1;cualitativo
product_stewardship;Indra;2017;0;cualitativo
%_renewable_energy;Indra;2017;0;cuantitativo
external_audit;Ferrovial;2021;0;cualitativo
2030_commitment;Ferrovial;2021;1;cualitativo
biodiversity_commitment;Ferrovial;2021;0;cualitativo
climate_strategy;Ferrovial;2021;1;cualitativo
green_buildings;Ferrovial;2021;0;cualitativo
recognized_env_standard;Ferrovial;2021;1;cualitativo
energy_management;Ferrovial;2021;0;cualitativo
building_materials;Ferrovial;2021;0;cualitativo
resource_efficiency;Ferrovial;2021;0;cualitativo
%_renewable_energy;Ferrovial;2021;0.78;cuantitativo
external_audit;Ferrovial;2020;0;cualitativo
